"XML Type","collection","series","subseries","box","folder","item","title","date","size","restricted?","handle","Accession Number","Handwritten or typed?","handwritten or typed controlled","Onionskin?","Column","filename","label","rank","creator","continent","country","region","settlement","umdm pid","umam pid","TEI"
"UMDM","Paul Porter papers","1","","3","4","52","Katherine Anne Porter to Paul Porter Jr., 1957-09-14","1957-09-14","4","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard: two of them combined in one note","litmss-022343-0001","KAPtoPPJ-1957-09-14-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Paul Porter papers","1","","3","4","52","Katherine Anne Porter to Paul Porter Jr., 1957-09-14","1957-09-14","4","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard: two of them combined in one note","litmss-022343-0001","KAPtoPPJ-1957-09-14-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Paul Porter papers","1","","3","4","52","Katherine Anne Porter to Paul Porter Jr., 1957-09-14","1957-09-14","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022343-0002","KAPtoPPJ-1957-09-14-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Paul Porter papers","1","","3","4","52","Katherine Anne Porter to Paul Porter Jr., 1957-09-14","1957-09-14","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022343-0003","KAPtoPPJ-1957-09-14-p0003","3","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Paul Porter papers","1","","3","4","52","Katherine Anne Porter to Paul Porter Jr., 1957-09-14","1957-09-14","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022343-0004","KAPtoPPJ-1957-09-14-p0004","4","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Paul Porter papers","1","","3","4","53","Katherine Anne Porter to Paul Porter Jr., 1958-08-11","1958-08-11","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard","litmss-022344-0001","KAPtoPPJ-1958-08-11-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","District of Columbia","Washington","","",""
"UMAM","Paul Porter papers","1","","3","4","53","Katherine Anne Porter to Paul Porter Jr., 1958-08-11","1958-08-11","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard","litmss-022344-0001","KAPtoPPJ-1958-08-11-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","District of Columbia","Washington","","",""
"UMAM","Paul Porter papers","1","","3","4","53","Katherine Anne Porter to Paul Porter Jr., 1958-08-11","1958-08-11","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022344-0002","KAPtoPPJ-1958-08-11-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Paul Porter papers","1","","3","4","54","Katherine Anne Porter to Paul Porter Jr., 1958-12-03","1958-12-03","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","postcard","litmss-022345-0001","KAPtoPPJ-1958-12-03-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Virginia","Charlottesville","","",""
"UMAM","Paul Porter papers","1","","3","4","54","Katherine Anne Porter to Paul Porter Jr., 1958-12-03","1958-12-03","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","postcard","litmss-022345-0001","KAPtoPPJ-1958-12-03-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Virginia","Charlottesville","","",""
