"XML Type","collection","series","subseries","box","folder","item","title","date","size","restricted?","handle","Accession Number","Handwritten or typed?","handwritten or typed controlled","Onionskin?","Column","filename","label","rank","creator","continent","country","region","settlement","umdm pid","umam pid","TEI"
"UMDM","Katherine Anne Porter papers","1","6","57","2","1","Katherine Anne Porter to Gertrude Beitel, 1950-12-01","1950-12-01","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","y, front only","","litmss-019350-0001","KAPtoGB-1950-12-01-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","1","Katherine Anne Porter to Gertrude Beitel, 1950-12-01","1950-12-01","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","y, front only","","litmss-019350-0001","KAPtoGB-1950-12-01-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","5","Katherine Anne Porter to Gertrude Beitel, 1951-09-26","1951-09-26","2","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019351-0001","KAPtoGB-1951-09-26-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","5","Katherine Anne Porter to Gertrude Beitel, 1951-09-26","1951-09-26","2","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019351-0001","KAPtoGB-1951-09-26-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","5","Katherine Anne Porter to Gertrude Beitel, 1951-09-26","1951-09-26","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019351-0002","KAPtoGB-1951-09-26-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","7","Katherine Anne Porter to Gertrude Beitel, 1952-08-14","1952-08-14","5","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019353-0001","KAPtoGB-1952-08-14-p0001","1","Porter, Katherine Anne, 1890-1980","Europe","France","Île-de-France","Paris","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","7","Katherine Anne Porter to Gertrude Beitel, 1952-08-14","1952-08-14","5","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019353-0001","KAPtoGB-1952-08-14-p0001","1","Porter, Katherine Anne, 1890-1980","Europe","France","Île-de-France","Paris","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","7","Katherine Anne Porter to Gertrude Beitel, 1952-08-14","1952-08-14","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019353-0002","KAPtoGB-1952-08-14-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","7","Katherine Anne Porter to Gertrude Beitel, 1952-08-14","1952-08-14","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019353-0003","KAPtoGB-1952-08-14-p0003","3","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","7","Katherine Anne Porter to Gertrude Beitel, 1952-08-14","1952-08-14","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019353-0004","KAPtoGB-1952-08-14-p0004","4","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","7","Katherine Anne Porter to Gertrude Beitel, 1952-08-14","1952-08-14","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019353-0005","KAPtoGB-1952-08-14-p0005","5","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","12","Katherine Anne Porter to Gertrude Beitel, 1953-04-14","1953-04-14","3","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","y, front - back","","litmss-019357-0001","KAPtoGB-1953-04-14-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","12","Katherine Anne Porter to Gertrude Beitel, 1953-04-14","1953-04-14","3","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","y, front - back","","litmss-019357-0001","KAPtoGB-1953-04-14-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","12","Katherine Anne Porter to Gertrude Beitel, 1953-04-14","1953-04-14","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019357-0002","KAPtoGB-1953-04-14-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","12","Katherine Anne Porter to Gertrude Beitel, 1953-04-14","1953-04-14","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019357-0003","KAPtoGB-1953-04-14-p0003","3","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","14","Katherine Anne Porter to Gertrude Beitel, 1955-07-22","1955-07-22","3","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019358-0001","KAPtoGB-1954-07-22-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","14","Katherine Anne Porter to Gertrude Beitel, 1955-07-22","1955-07-22","3","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019358-0001","KAPtoGB-1954-07-22-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","14","Katherine Anne Porter to Gertrude Beitel, 1955-07-22","1955-07-22","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019358-0002","KAPtoGB-1954-07-22-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","14","Katherine Anne Porter to Gertrude Beitel, 1955-07-22","1955-07-22","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019358-0003","KAPtoGB-1954-07-22-p0003","3","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","17","Katherine Anne Porter to Gertrude Beitel, 1955-09-20","1955-09-20","5","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","y, front - back","","litmss-019359-0001","KAPtoGB-1955-09-20-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","17","Katherine Anne Porter to Gertrude Beitel, 1955-09-20","1955-09-20","5","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","y, front - back","","litmss-019359-0001","KAPtoGB-1955-09-20-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","17","Katherine Anne Porter to Gertrude Beitel, 1955-09-20","1955-09-20","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019359-0002","KAPtoGB-1955-09-20-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","17","Katherine Anne Porter to Gertrude Beitel, 1955-09-20","1955-09-20","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019359-0003","KAPtoGB-1955-09-20-p0003","3","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","17","Katherine Anne Porter to Gertrude Beitel, 1955-09-20","1955-09-20","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019359-0004","KAPtoGB-1955-09-20-p0004","4","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","17","Katherine Anne Porter to Gertrude Beitel, 1955-09-20","1955-09-20","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019359-0005","KAPtoGB-1955-09-20-p0005","5","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","20","Katherine Anne Porter to Gertrude Beitel, 1956-01-28","1956-01-28","2","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019360-0001","KAPtoGB-1956-01-28-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","20","Katherine Anne Porter to Gertrude Beitel, 1956-01-28","1956-01-28","2","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019360-0001","KAPtoGB-1956-01-28-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","20","Katherine Anne Porter to Gertrude Beitel, 1956-01-28","1956-01-28","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019360-0002","KAPtoGB-1956-01-28-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","27","Katherine Anne Porter to Gertrude Beitel, 1956-10-07","1956-10-07","2","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019361-0001","KAPtoGB-1956-10-07-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","27","Katherine Anne Porter to Gertrude Beitel, 1956-10-07","1956-10-07","2","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019361-0001","KAPtoGB-1956-10-07-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","27","Katherine Anne Porter to Gertrude Beitel, 1956-10-07","1956-10-07","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019361-0002","KAPtoGB-1956-10-07-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","29","Gertrude Beitel to Katherine Anne Porter, 1957-01-08","1957-01-08","2","","http://hdl.handle.net/1903.1/1532","66-5","typed -hw","typed, handwritten notes","","Digitize both sides: Inscription from KAP on reverse","litmss-019491-0001","GBtoKAP-1957-01-08-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States","Texas","San Antonio","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","29","Gertrude Beitel to Katherine Anne Porter, 1957-01-08","1957-01-08","2","","http://hdl.handle.net/1903.1/1532","66-5","typed -hw","typed, handwritten notes","","Digitize both sides: Inscription from KAP on reverse","litmss-019491-0001","GBtoKAP-1957-01-08-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","29","Gertrude Beitel to Katherine Anne Porter, 1957-01-08","1957-01-08","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019491-0002","GBtoKAP-1957-01-08-p0002","2","Porter, Katherine Anne, 1890-1980","North America","United States","Texas","San Antonio","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","30","Katherine Anne Porter to Gertrude Beitel, 1957-01-10","1957-01-10","3","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019362-0001","KAPtoGB-1957-01-10-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","30","Katherine Anne Porter to Gertrude Beitel, 1957-01-10","1957-01-10","3","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019362-0001","KAPtoGB-1957-01-10-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","30","Katherine Anne Porter to Gertrude Beitel, 1957-01-10","1957-01-10","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019362-0002","KAPtoGB-1957-01-10-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","30","Katherine Anne Porter to Gertrude Beitel, 1957-01-10","1957-01-10","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019362-0003","KAPtoGB-1957-01-10-p0003","3","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","33","Katherine Anne Porter to Gertrude Beitel, 1957-08-07","1957-08-07","2","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019363-0001","KAPtoGB-1957-08-07-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","33","Katherine Anne Porter to Gertrude Beitel, 1957-08-07","1957-08-07","2","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019363-0001","KAPtoGB-1957-08-07-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","33","Katherine Anne Porter to Gertrude Beitel, 1957-08-07","1957-08-07","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019363-0002","KAPtoGB-1957-08-07-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","36","Katherine Anne Porter to Gertrude Beitel, 1957-10-06","1957-10-06","3","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019364-0001","KAPtoGB-1957-10-06-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","36","Katherine Anne Porter to Gertrude Beitel, 1957-10-06","1957-10-06","3","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019364-0001","KAPtoGB-1957-10-06-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","36","Katherine Anne Porter to Gertrude Beitel, 1957-10-06","1957-10-06","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019364-0002","KAPtoGB-1957-10-06-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","36","Katherine Anne Porter to Gertrude Beitel, 1957-10-06","1957-10-06","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019364-0003","KAPtoGB-1957-10-06-p0003","3","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","38","Katherine Anne Porter to Gertrude Beitel, 1958-04-21","1958-04-21","3","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019365-0001","KAPtoGB-1958-04-21-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","38","Katherine Anne Porter to Gertrude Beitel, 1958-04-21","1958-04-21","3","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019365-0001","KAPtoGB-1958-04-21-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","38","Katherine Anne Porter to Gertrude Beitel, 1958-04-21","1958-04-21","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019365-0002","KAPtoGB-1958-04-21-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","38","Katherine Anne Porter to Gertrude Beitel, 1958-04-21","1958-04-21","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019365-0003","KAPtoGB-1958-04-21-p0003","3","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","42","Katherine Anne Porter to Gertrude Beitel and Samuel Greenwell 1958-07-07","1958-07-07","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019366-0001","KAPtoGB-1958-07-07-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","42","Katherine Anne Porter to Gertrude Beitel and Samuel Greenwell 1958-07-07","1958-07-07","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019366-0001","KAPtoGB-1958-07-07-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","44","Katherine Anne Porter to Gertrude Beitel, 1958-07-12","1958-07-12","3","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019367-0001","KAPtoGB-1958-07-12-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","44","Katherine Anne Porter to Gertrude Beitel, 1958-07-12","1958-07-12","3","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019367-0001","KAPtoGB-1958-07-12-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","44","Katherine Anne Porter to Gertrude Beitel, 1958-07-12","1958-07-12","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019367-0002","KAPtoGB-1958-07-12-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","44","Katherine Anne Porter to Gertrude Beitel, 1958-07-12","1958-07-12","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019367-0003","KAPtoGB-1958-07-12-p0003","3","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","45","Gertrude Beitel to Katherine Anne Porter, 1958-10-19","1958-10-19","2","","http://hdl.handle.net/1903.1/1532","66-5","typed - hw","typed, handwritten notes","","Digitize both sides: Inscription from KAP on reverse","litmss-019492-0001","GBtoKAP-1958-10-19-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States","Texas","San Antonio","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","45","Gertrude Beitel to Katherine Anne Porter, 1958-10-19","1958-10-19","2","","http://hdl.handle.net/1903.1/1532","66-5","typed - hw","typed, handwritten notes","","Digitize both sides: Inscription from KAP on reverse","litmss-019492-0001","GBtoKAP-1958-10-19-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Virginia","Charlottesville","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","45","Gertrude Beitel to Katherine Anne Porter, 1958-10-19","1958-10-19","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019492-0002","GBtoKAP-1958-10-19-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","46","Katherine Anne Porter to Gertrude Beitel, 1958-10-20","1958-10-20","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019368-0001","KAPtoGB-1958-10-20-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Virginia","Charlottesville","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","46","Katherine Anne Porter to Gertrude Beitel, 1958-10-20","1958-10-20","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019368-0001","KAPtoGB-1958-10-20-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Virginia","Charlottesville","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","5","2","Katherine Anne Porter to Lily Cahill, 1937-03-31","1937-03-31","2","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019369-0001","KAPtoLC-1937-03-31-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","5","2","Katherine Anne Porter to Lily Cahill, 1937-03-31","1937-03-31","2","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019369-0001","KAPtoLC-1937-03-31-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","5","2","Katherine Anne Porter to Lily Cahill, 1937-03-31","1937-03-31","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019369-0002","KAPtoLC-1937-03-31-p0002","2","Porter, Katherine Anne, 1890-1980","North America","United States","Texas","San Antonio","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","5","41","Katherine Anne Porter to Lily Cahill, 1953-05-04","1953-05-04","3","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","y, front - back","","litmss-019370-0001","KAPtoLC-1953-05-04-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","5","41","Katherine Anne Porter to Lily Cahill, 1953-05-04","1953-05-04","3","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","y, front - back","","litmss-019370-0001","KAPtoLC-1953-05-04-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","5","41","Katherine Anne Porter to Lily Cahill, 1953-05-04","1953-05-04","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019370-0002","KAPtoLC-1953-05-04-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","5","41","Katherine Anne Porter to Lily Cahill, 1953-05-04","1953-05-04","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019370-0003","KAPtoLC-1953-05-04-p0003","3","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","5","46","Katherine Anne Porter to Lily Cahill, undated","undated","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019371-0001","KAPtoLC-nd-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States","New York","New York ","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","5","46","Katherine Anne Porter to Lily Cahill, undated","undated","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019371-0001","KAPtoLC-nd-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States","New York","New York ","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","9","2","Katherine Anne Porter to Albert Erskine, 1935-08-20","1935-08-20","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","y, front only","","litmss-019401-0001","KAPtoAE-1935-07-29-p0001","1","Porter, Katherine Anne, 1890-1980","Europe","France","Île-de-France","Paris","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","9","2","Katherine Anne Porter to Albert Erskine, 1935-08-20","1935-08-20","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","y, front only","","litmss-019401-0001","KAPtoAE-1935-07-29-p0001","1","Porter, Katherine Anne, 1890-1980","Europe","France","Île-de-France","Paris","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","9","8","Katherine Anne Porter to Albert Erskine, 1937-09-14","1937-09-14","1","","http://hdl.handle.net/1903.1/1532","66-5","hw","handwritten","","","litmss-019402-0001","KAPtoAE-1937-09-14-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Louisiana","New Orleans","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","9","8","Katherine Anne Porter to Albert Erskine, 1937-09-14","1937-09-14","1","","http://hdl.handle.net/1903.1/1532","66-5","hw","handwritten","","","litmss-019402-0001","KAPtoAE-1937-09-14-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Louisiana","New Orleans","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","9","10","Katherine Anne Porter to Albert Erskine, 1937-09-23","1937-09-23","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019403-0001","KAPtoAE-1937-09-23-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Louisiana","New Orleans","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","9","10","Katherine Anne Porter to Albert Erskine, 1937-09-23","1937-09-23","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019403-0001","KAPtoAE-1937-09-23-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Louisiana","New Orleans","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","9","12","Katherine Anne Porter to Albert Erskine, 1937-09-29","1937-09-29","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019404-0001","KAPtoAE-1937-09-29-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Louisiana","New Orleans","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","9","12","Katherine Anne Porter to Albert Erskine, 1937-09-29","1937-09-29","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019404-0001","KAPtoAE-1937-09-29-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Louisiana","New Orleans","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","9","13","Katherine Anne Porter to Albert Erskine, 1937-10-12","1937-10-12","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019405-0001","KAPtoAE-1937-10-12-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Louisiana","New Orleans","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","9","13","Katherine Anne Porter to Albert Erskine, 1937-10-12","1937-10-12","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019405-0001","KAPtoAE-1937-10-12-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Louisiana","New Orleans","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","9","14","Katherine Anne Porter to Albert Erskine, 1937-10-22","1937-10-22","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019406-0001","KAPtoAE-1937-10-22-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Louisiana","New Orleans","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","9","14","Katherine Anne Porter to Albert Erskine, 1937-10-22","1937-10-22","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019406-0001","KAPtoAE-1937-10-22-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Louisiana","New Orleans","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","9","16","Katherine Anne Porter to Albert Erskine, 1937-10-23","1937-10-23","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019407-0001","KAPtoAE-1937-10-23-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Louisiana","New Orleans","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","9","16","Katherine Anne Porter to Albert Erskine, 1937-10-23","1937-10-23","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019407-0001","KAPtoAE-1937-10-23-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Louisiana","New Orleans","","",""
